Size        Rss         Pss         Clean       Dirty       Clean       Dirty       Swap        SwapPss     Counts      Category                         Name
32          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/extensionability/libapp_service_extension_module.z.so
168         20          0           0           20          0           0           0           0           4           .so                              /system/lib64/extensionability/libassetaccelextension.z.so
24          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/extensionability/libauto_fill_extension_module.z.so
644         28          0           0           28          0           0           0           0           4           .so                              /system/lib64/extensionability/libbackup_extension_ability_native.z.so
32          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/extensionability/libcaller_info_query_extension_module.z.so
32          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/extensionability/libcontent_embed_extension_module.z.so
32          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/extensionability/libdatashare_ext_ability_module.z.so
212         20          0           0           20          0           0           0           0           4           .so                              /system/lib64/extensionability/libdistributed_extension_ability_native.z.so
32          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/extensionability/libembedded_ui_extension_module.z.so
32          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/extensionability/libenterprise_admin_extension_module.z.so
116         16          0           0           16          0           0           0           0           4           .so                              /system/lib64/extensionability/libfaultlogextension.z.so
124         16          0           0           16          0           0           0           0           4           .so                              /system/lib64/extensionability/libfence_extension_ability.z.so
36          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/extensionability/libfile_access_extension_ability_module.z.so
32          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/extensionability/libform_edit_extension_module.z.so
24          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/extensionability/libform_extension_module.z.so
32          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/extensionability/libinputmethod_extension_module.z.so
24          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/extensionability/libinsight_intent_ui_extension_module.z.so
24          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/extensionability/liblive_form_extension_module.z.so
112         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/extensionability/libliveview_lockscreen_extension.z.so
36          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/extensionability/libnotification_subscriber_extension_module.z.so
32          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/extensionability/libphoto_editor_extension_module.z.so
32          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/extensionability/libprint_extension_module.z.so
96          12          0           0           12          0           0           0           0           4           .so                              /system/lib64/extensionability/libpush_extension.z.so
96          12          0           0           12          0           0           0           0           4           .so                              /system/lib64/extensionability/libremote_location_extension.z.so
148         16          0           0           16          0           0           0           0           4           .so                              /system/lib64/extensionability/libremote_notification_extension.z.so
24          24          0           16          8           0           0           0           0           4           .so                              /system/lib64/extensionability/libservice_extension_module.z.so
24          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/extensionability/libshare_extension_module.z.so
36          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/extensionability/libstatic_subscriber_extension_module.z.so
56          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/extensionability/libstatusbar_view_extension.z.so
40          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/extensionability/libtime_guard_extension_module.z.so
24          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/extensionability/libui_extension_module.z.so
36          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/extensionability/libui_service_extension_module.z.so
32          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/extensionability/libuser_auth_extension_module.z.so
88          16          0           0           16          0           0           0           0           4           .so                              /system/lib64/extensionability/libvoip_extension.z.so
32          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/extensionability/libvpn_extension_module.z.so
32          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/extensionability/libwallpaper_extension_module.z.so
32          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/extensionability/libweb_native_messaging_extension_module.z.so
32          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/extensionability/libwindow_extension_module.z.so
156         16          0           0           16          0           0           0           0           4           .so                              /system/lib64/extensionability/libworkschedextension.z.so
3096        160         5           64          96          0           0           0           0           4           .so                              /system/lib64/lib2d_graphics.z.so
676         24          0           0           24          0           0           0           0           4           .so                              /system/lib64/lib3dWidgetAdapter.z.so
